time[s],m_in
0,-0
1,8.24045233887424e-09
2,1.64801427358141e-08
3,2.47190712613756e-08
4,3.29572379860648e-08
5,4.11946429804297e-08
6,4.94312863150054e-08
7,5.76671680602403e-08
8,6.59022882866797e-08
9,7.41366470648195e-08
10,8.23702444651055e-08
11,9.06030805580804e-08
12,9.88351554142005e-08
13,1.07066469103927e-07
14,1.1529702169771e-07
15,1.23526813266038e-07
16,1.31755843879316e-07
17,1.39984113608062e-07
18,1.48211622522619e-07
19,1.56438370693496e-07
20,1.64664358191102e-07
21,1.72889585085847e-07
22,1.81114051448075e-07
23,1.89337757348319e-07
24,1.97560702856859e-07
25,2.05782888044183e-07
26,2.140043129806e-07
27,2.22224977736536e-07
28,2.30444882382329e-07
29,2.38664026988378e-07
30,2.46882411625012e-07
31,2.55100036362623e-07
32,2.63316901271497e-07
33,2.71533006422035e-07
34,2.79748351884534e-07
35,2.87962937729332e-07
36,2.96176764026735e-07
37,3.04389830847075e-07
38,3.12602138260668e-07
39,3.20813686337783e-07
40,3.29024475148729e-07
41,3.37234504763802e-07
42,3.45443775253268e-07
43,3.53652286687414e-07
44,3.61860039136481e-07
45,3.70067032670784e-07
46,3.78273267360537e-07
47,3.86478743275976e-07
48,3.94683460487397e-07
49,4.02887419064956e-07
50,4.11090619078977e-07
51,4.19293060599608e-07
52,4.27494743697092e-07
53,4.35695668441624e-07
54,4.4389583490344e-07
55,4.52095243152708e-07
56,4.60293893259656e-07
57,4.6849178529439e-07
58,4.76688919327166e-07
59,4.84885295428082e-07
60,4.93080913667405e-07
61,5.01275774115188e-07
62,5.09469876841618e-07
63,5.17663221916849e-07
64,5.25855809411041e-07
65,5.34047639394268e-07
66,5.4223871193672e-07
67,5.50429027108461e-07
68,5.586185849796e-07
69,5.66807385620304e-07
70,5.74995429100601e-07
71,5.8318271549065e-07
72,5.91369244860487e-07
73,5.99555017280193e-07
74,6.07740032819888e-07
75,6.15924291549588e-07
76,6.24107793539368e-07
77,6.32290538859293e-07
78,6.40472527579394e-07
79,6.48653759769745e-07
80,6.56834235500332e-07
81,6.65013954841185e-07
82,6.73192917862393e-07
83,6.81371124633887e-07
84,6.89548575225727e-07
85,6.97725269707875e-07
86,7.05901208150383e-07
87,7.14076390623185e-07
88,7.22250817196292e-07
89,7.30424487939682e-07
90,7.38597402923303e-07
91,7.46769562217146e-07
92,7.54940965891113e-07
93,7.63111614015223e-07
94,7.7128150665939e-07
95,7.79450643893532e-07
96,7.87619025787612e-07
97,7.95786652411502e-07
98,8.03953523835194e-07
99,8.12119640128553e-07
100,8.20285001361487e-07
101,8.28449607603912e-07
102,8.3661345892569e-07
103,8.44776555396709e-07
104,8.52938897086899e-07
105,8.61100484066048e-07
106,8.69261316404113e-07
107,8.77421394170875e-07
108,8.8558071743623e-07
109,8.93739286270004e-07
110,9.01897100742067e-07
111,9.1005416092222e-07
112,9.18210466880287e-07
113,9.26366018686117e-07
114,9.34520816409508e-07
115,9.42674860120282e-07
116,9.50828149888211e-07
117,9.58980685783109e-07
118,9.6713246787476e-07
119,9.75283496232968e-07
120,9.83433770927455e-07
121,9.91583292028036e-07
122,9.99732059604461e-07
123,1.00788007372646e-06
124,1.01602733446386e-06
125,1.02417384188629e-06
126,1.0323195960636e-06
127,1.04046459706542e-06
128,1.04860884496157e-06
129,1.05675233982167e-06
130,1.06489508171547e-06
131,1.07303707071272e-06
132,1.08117830688307e-06
133,1.08931879029622e-06
134,1.09745852102185e-06
135,1.10559749912963e-06
136,1.11373572468927e-06
137,1.12187319777039e-06
138,1.13000991844269e-06
139,1.13814588677578e-06
140,1.14628110283936e-06
141,1.15441556670299e-06
142,1.1625492784364e-06
143,1.17068223810913e-06
144,1.17881444579086e-06
145,1.18694590155117e-06
146,1.19507660545971e-06
147,1.20320655758601e-06
148,1.21133575799973e-06
149,1.21946420677044e-06
150,1.22759190396769e-06
151,1.23571884966109e-06
152,1.24384504392021e-06
153,1.25197048681459e-06
154,1.2600951784138e-06
155,1.26821911878737e-06
156,1.27634230800488e-06
157,1.28446474613584e-06
158,1.29258643324977e-06
159,1.30070736941625e-06
160,1.30882755470475e-06
161,1.31694698918475e-06
162,1.32506567292581e-06
163,1.33318360599742e-06
164,1.34130078846904e-06
165,1.34941722041019e-06
166,1.35753290189035e-06
167,1.36564783297895e-06
168,1.37376201374548e-06
169,1.38187544425942e-06
170,1.3899881245902e-06
171,1.39810005480727e-06
172,1.40621123498007e-06
173,1.41432166517806e-06
174,1.42243134547061e-06
175,1.4305402759272e-06
176,1.43864845661718e-06
177,1.44675588761004e-06
178,1.45486256897513e-06
179,1.46296850078182e-06
180,1.47107368309954e-06
181,1.47917811599768e-06
182,1.48728179954558e-06
183,1.49538473381266e-06
184,1.50348691886822e-06
185,1.51158835478166e-06
186,1.51968904162231e-06
187,1.52778897945952e-06
188,1.53588816836263e-06
189,1.54398660840097e-06
190,1.55208429964388e-06
191,1.56018124216062e-06
192,1.56827743602058e-06
193,1.57637288129301e-06
194,1.58446757804723e-06
195,1.59256152635257e-06
