TBE,Pf/Pfmax,TBR_req,I_st,f_he
0.0036,0.995200007,1.258,4.205723888,0.000602168
0.007555868,0.989925573,1.125,2.035808571,0.001268899
0.01148045,0.984692959,1.084,1.361293998,0.00193563
0.019237227,0.974351433,1.052,0.837749325,0.003269093
0.030646798,0.959141956,1.035,0.548689587,0.005269286
0.038106834,0.949199298,1.031,0.4525681,0.006602749
0.073748486,0.901731142,1.018,0.260786221,0.013270061
0.106843204,0.857736678,1.014,0.194944187,0.019937373
0.137654574,0.816885057,1.012,0.160566294,0.026604686
0.166411025,0.778883898,1.012,0.138564801,0.033271998
0.285536363,0.623497496,1.012,0.088318964,0.06660856
0.444348778,0.425445455,1.012,0.05381507,0.133281683
0.545398512,0.30870398,1.01,0.038668828,0.199954806
0.615350229,0.234166226,1.01,0.029803307,0.266627929
0.705868948,0.14794075,1.01,0.020206126,0.399974175
0.8,0.074380165,1.01,0.012461675,0.666666667
