TBR,I_st[kg],I_bz[g],I_TES[g],tau_bz[s],eta_TES
1.115,12.94087297,3.26409301,2.362438936,703921.265,0.162182308
1.1,11.51595059,3.411591874,0.476943944,782604.2336,0.794284541
1.085,9.933495292,0.48254975,1.201049445,109716.6093,0.311215042
1.105,11.75122562,3.477772114,0.719776508,789156.7397,0.528533136
1.11,12.36647151,2.519950277,2.303467248,546358.3887,0.165648729
1.08,9.36600346,0.363592558,0.618541087,84274.90992,0.601981941
1.09,10.60756924,1.067709695,1.427196197,240622.4611,0.262971285
1.09,10.64198808,2.048068568,0.574170702,472505.6326,0.654079098
1.1,11.73491753,3.612973586,0.549561584,827285.9058,0.689214503
1.1,11.71166394,3.63660827,0.506290561,833663.6944,0.748151593
1.08,9.738005059,0.590031238,0.826164895,136177.7026,0.450541599
1.14,15.1232235,4.192493678,4.659326541,838592.1634,0.083821378
1.115,12.73380359,3.767979187,1.674330212,826992.2433,0.228976969
1.085,10.32168231,1.8017835,0.409430083,419364.5605,0.913337362
1.115,13.02944402,3.21843504,2.514035242,691442.3251,0.152378019
1.08,9.363057351,0.525961281,0.450950659,122589.7966,0.825816977
1.09,10.39795507,1.585256987,0.697634023,364401.7482,0.538342435
1.1,11.44657145,3.440146667,0.380339701,791195.4938,0.996134717
1.14,14.80005688,3.449666787,4.995292617,684467.1327,0.078175529
1.105,12.01970113,3.666414794,0.859165732,829001.4564,0.44267827
1.12,13.44444112,2.72048822,3.604038326,566559.9641,0.10665277
1.075,8.972186566,0.132413913,0.385464455,30854.89029,0.961898081
1.195,19.0145266,4.426857948,11.72824161,733647.7203,0.004634224
1.1,11.60794065,3.518738907,0.488840909,806970.1661,0.774910465
1.095,10.88609666,2.544980036,0.461576075,586427.1738,0.817303221
1.095,11.0832367,2.838680308,0.4342346,654687.4728,0.868694705
1.135,14.38756134,3.194839611,4.607126136,642066.4525,0.084435846
1.09,10.53493225,1.483863941,0.939188354,338884.1449,0.399782649
1.1,11.74824083,2.534202883,1.456549963,566332.8971,0.259870403
1.08,9.465548378,0.634557976,0.465434746,147905.2983,0.80006848
1.1,11.34792995,2.68859565,0.877937159,610023.82,0.431413827
1.075,8.976925031,0.118225134,0.4071498,27503.57927,0.910647594
1.095,11.11193516,1.084233878,2.071707177,239261.459,0.181847028
1.085,9.825905708,0.177202601,1.416712336,39892.08151,0.263802917
1.095,10.89156675,0.386172722,2.587654955,83921.85899,0.14553898
1.12,13.33165616,3.351214357,2.826805183,711467.5637,0.136068559
1.095,10.90469924,2.603319809,0.433976794,600331.9303,0.869292208
1.085,10.05635576,1.185281536,0.645039563,273973.9508,0.579704587
1.105,11.82658757,3.615172432,0.691844824,820991.8502,0.549860202
1.095,10.67118371,0.137748005,2.598310749,29761.41355,0.144954798
1.085,10.21502726,1.630175003,0.438389872,379075.1267,0.853031118
1.085,10.20537083,1.424174656,0.601098928,329666.5069,0.622055131
